id	taxid
GeneID:10399477	190063
GeneID:10399478	190063
GeneID:10399483	190063
GeneID:10399487	190063
GeneID:10399508	764562
GeneID:10399511	764562
GeneID:10399512	764562
GeneID:10399523	764562
GeneID:10399530	764562
GeneID:10399532	764562
GeneID:10399535	764562
GeneID:10399556	764562
GeneID:10399586	998829
GeneID:10399624	999883
GeneID:10399626	999883
GeneID:10399629	999883
GeneID:10399679	999883
GeneID:10399746	999883
GeneID:10399747	999883
GeneID:10399865	999883
GeneID:10399984	999883
GeneID:10399989	999883
GeneID:10400012	999883
GeneID:10400102	995022
GeneID:10400107	995022
GeneID:10400108	995022
GeneID:10400109	995022
GeneID:10400110	995022
GeneID:10400111	995022
GeneID:10400117	995022
GeneID:10400126	995022
GeneID:10417341	930168
GeneID:10417342	930168
GeneID:10417344	930168
GeneID:10421733	629725
GeneID:10421735	629725
GeneID:10498572	1006583
GeneID:10498574	1006583
GeneID:10499004	1002725
GeneID:10511597	753084
GeneID:10511606	753084
GeneID:10511632	753084
GeneID:10511645	753084
GeneID:10511660	753084
GeneID:10511668	753084
GeneID:10511693	753085
GeneID:10511719	753085
GeneID:10511737	753085
GeneID:10511744	562742
GeneID:10511763	562742
GeneID:10511769	562742
GeneID:10511770	562742
GeneID:10511774	562742
GeneID:10511783	562742
GeneID:10511799	562742
GeneID:10511809	562742
GeneID:10511814	562742
GeneID:10511816	562742
GeneID:10511822	562742
GeneID:10526562	1520002
GeneID:10526563	1520002
GeneID:10526570	1520002
GeneID:10555577	748667
GeneID:10581131	1016854
GeneID:10581135	1016855
GeneID:10581144	1016857
GeneID:10581151	1016853
GeneID:10618421	1030595
GeneID:10618428	1032457
GeneID:10618614	1032362
GeneID:10618618	1032362
GeneID:10618622	1032362
GeneID:10618627	1032362
GeneID:10618632	1032362
GeneID:10618633	1032362
GeneID:10618636	1032362
GeneID:10618638	1032362
GeneID:10618676	1026955
GeneID:10618703	1026955
GeneID:10618719	1026955
GeneID:10618751	1026955
GeneID:10618780	1026955
GeneID:10618845	1026955
GeneID:10749316	1016879
GeneID:10749425	912320
GeneID:10842533	915424
GeneID:10842534	915424
GeneID:10842540	889813
GeneID:10842543	889813
GeneID:10874210	981323
GeneID:10894485	1045778
GeneID:10894486	1045778
GeneID:10894509	1041524
GeneID:10894529	1041524
GeneID:10894541	1035662
GeneID:10894551	1035662
GeneID:10894561	1035662
GeneID:10894607	943335
GeneID:10894610	943335
